,chrom,start,end,strand,confidence_score,sample_or_tissue_used
476,chr19,1853048,1853086,-,5.414279899,K562
477,chr19,1853139,1853178,-,8.876519791,K562
496,chr19,1978699,1978739,+,4.269339392,HepG2
499,chr19,1981156,1981243,+,7.235175302,K562
498,chr19,1981032,1981059,+,3.424169967,K562
497,chr19,1980715,1980756,+,5.266761796,K562
500,chr19,1985914,1985951,-,3.424169967,K562
509,chr19,2038144,2038180,-,5.287361324,K562
516,chr19,2041859,2041884,-,3.540116796,K562
21206,chr16,2076704,2076757,+,3.504713402,HepG2
23035,chr20,2146293,2146331,+,3.016910938,HepG2
23037,chr20,2146851,2146905,+,4.739795003,HepG2
23034,chr20,2145528,2145601,+,6.360025702,HepG2
23036,chr20,2146355,2146393,+,3.536314955,HepG2
23033,chr20,2144940,2144994,+,3.36069115,K562
535,chr19,2232444,2232509,+,4.619541281,K562
27769,chr4,2250205,2250250,-,3.36069115,K562
8537,chr7,2252572,2252630,-,5.271256259,K562
8538,chr7,2252589,2252636,-,3.178734411,K562
564,chr19,2275069,2275160,+,3.957620614,K562
17215,chr1,2308457,2308521,+,6.115291843,K562
17216,chr1,2309522,2309569,+,3.016910938,HepG2
17214,chr1,2308457,2308510,+,4.105895486,K562
30935,chr17,2324249,2324296,-,3.693916752,HepG2
569,chr19,2342169,2342206,+,3.96221267,HepG2
584,chr19,2430319,2430333,-,4.105895486,K562
580,chr19,2429017,2429037,-,3.991571025,K562
583,chr19,2430204,2430244,-,4.545455288,HepG2
582,chr19,2430158,2430209,-,5.419897543,K562
581,chr19,2429025,2429083,-,4.557780101,HepG2
23041,chr20,2461870,2461922,-,11.4118053,HepG2
23040,chr20,2461868,2461924,-,15.09984051,K562
23042,chr20,2461875,2461918,-,7.641893755,K562
23044,chr20,2463088,2463118,-,7.099652811,HepG2
23045,chr20,2463750,2463772,-,5.920842641,K562
21272,chr16,2603093,2603128,+,8.765382759,HepG2
21273,chr16,2603097,2603165,+,3.610284393,K562
21276,chr16,2708915,2708961,+,3.36069115,K562
21274,chr16,2707732,2707779,+,3.693916752,HepG2
21275,chr16,2708728,2708790,+,5.572357631,K562
585,chr19,2715863,2715949,-,3.266697184,K562
29065,chr12,2803440,2803484,+,4.007253545,HepG2
29064,chr12,2803438,2803478,+,4.227194163,K562
27777,chr4,2932068,2932103,-,3.36069115,K562
23066,chr20,3047962,3048000,+,3.199661376,HepG2
23067,chr20,3048187,3048225,+,4.512902227,HepG2
657,chr19,3055665,3055688,-,3.805119784,K562
3024,chr19,3532439,3532483,+,3.504713402,HepG2
35295,chr2,3575326,3575351,+,7.235175302,K562
13020,chrX,3604438,3604498,-,4.628865613,K562
23074,chr20,3650400,3650472,+,5.098853371,HepG2
23075,chr20,3650874,3650947,+,3.991571025,K562
23073,chr20,3648810,3648866,+,4.52966126,HepG2
23072,chr20,3648317,3648352,+,3.016910938,HepG2
21350,chr16,3662881,3662894,-,3.540116796,K562
21359,chr16,3727398,3727465,-,8.12205604,HepG2
21356,chr16,3727371,3727460,-,11.45812409,K562
21355,chr16,3727137,3727205,-,6.062685662,HepG2
21358,chr16,3727386,3727466,-,13.1800874,K562
21357,chr16,3727384,3727459,-,5.050337254,HepG2
24441,chr6,3751466,3751504,-,3.476468913,HepG2
24442,chr6,3752443,3752485,+,4.512902227,HepG2
23084,chr20,3784412,3784491,-,5.967101334,HepG2
23085,chr20,3804898,3804945,+,4.739795003,HepG2
23106,chr20,3822173,3822210,+,3.693916752,HepG2
21362,chr16,3965492,3965590,-,4.269339392,HepG2
21360,chr16,3964367,3964436,-,6.062685662,HepG2
21361,chr16,3964733,3964781,-,4.739795003,HepG2
708,chr19,4038490,4038510,+,3.36069115,K562
710,chr19,4038760,4038803,+,3.36069115,K562
709,chr19,4038491,4038539,+,10.7978213,K562
711,chr19,4038841,4038893,+,4.227194163,K562
712,chr19,4044822,4044894,-,6.099840782,K562
713,chr19,4045412,4045473,-,4.782928436,K562
21363,chr16,4257527,4257612,-,3.540116796,K562
30955,chr17,4269301,4269359,-,3.36069115,K562
21365,chr16,4343210,4343275,-,5.271256259,K562
21364,chr16,4343206,4343268,-,4.28721069,K562
3137,chr3,4361183,4361240,-,5.340467232,HepG2
3138,chr3,4361394,4361439,-,5.779849793,HepG2
21367,chr16,4383189,4383249,+,5.32198595,HepG2
21366,chr16,4383025,4383071,+,4.594322111,HepG2
21368,chr16,4383396,4383451,+,6.17462069,HepG2
3025,chr19,4402693,4402746,+,5.529101386,HepG2
714,chr19,4409045,4409114,+,5.766439673,K562
715,chr19,4443243,4443267,+,3.36069115,K562
30956,chr17,4539214,4539251,-,3.189448735,HepG2
30957,chr17,4539257,4539334,-,4.367798095,K562
734,chr19,4543810,4543854,-,8.028191076,HepG2
735,chr19,4546393,4546411,-,3.882310524,HepG2
736,chr19,4548036,4548067,-,6.327809749,HepG2
737,chr19,4657742,4657790,-,7.857602086,HepG2
738,chr19,4657794,4657839,-,4.739795003,HepG2
8565,chr7,4766689,4766756,+,5.456039798,K562
8569,chr7,4768775,4768838,+,4.105895486,K562
8570,chr7,4771334,4771396,+,4.308259517,K562
8568,chr7,4767968,4768018,+,3.55428109,HepG2
8564,chr7,4765864,4765920,+,5.577359118,HepG2
8566,chr7,4767824,4767924,+,6.959041827,HepG2
8560,chr7,4764581,4764629,+,4.782928436,K562
8567,chr7,4767848,4767935,+,4.619541281,K562
8561,chr7,4764597,4764653,+,4.279424552,HepG2
8563,chr7,4765144,4765179,+,4.007253545,HepG2
8562,chr7,4764946,4764994,+,4.105895486,K562
24443,chr6,4776538,4776581,+,3.36069115,K562
24444,chr6,4776644,4776688,+,3.199661376,HepG2
30958,chr17,4789087,4789136,+,3.536314955,HepG2
740,chr19,4795426,4795477,+,4.007253545,HepG2
739,chr19,4794979,4795009,+,3.693916752,HepG2
3195,chr3,4983134,4983165,+,11.33058084,HepG2
3194,chr3,4983132,4983163,+,8.483464626,K562
3217,chr3,4985070,4985080,+,7.092832084,K562
3206,chr3,4984177,4984216,+,16.22337145,HepG2
3207,chr3,4984349,4984367,+,8.307859361,K562
3208,chr3,4984384,4984437,+,6.703866158,HepG2
3196,chr3,4983696,4983733,+,16.787125,HepG2
3203,chr3,4983963,4984004,+,13.8887711,HepG2
3205,chr3,4984115,4984147,+,13.2954034,HepG2
3202,chr3,4983907,4983939,+,15.25671763,HepG2
3198,chr3,4983779,4983808,+,12.67028552,K562
3201,chr3,4983839,4983903,+,29.13547705,HepG2
3200,chr3,4983829,4983947,+,61.08871452,K562
3199,chr3,4983822,4983947,+,400.0,K562
3197,chr3,4983774,4983789,+,5.572357631,K562
3209,chr3,4984391,4984445,+,18.07334892,HepG2
3210,chr3,4984413,4984433,+,6.125978175,K562
3212,chr3,4984475,4984506,+,13.2954034,HepG2
3211,chr3,4984413,4984443,+,8.592830124,K562
3214,chr3,4984945,4985017,+,19.41006156,K562
3215,chr3,4985045,4985060,+,7.840583212,K562
3216,chr3,4985060,4985140,+,35.27553398,K562
3204,chr3,4984046,4984099,+,20.604429,HepG2
3213,chr3,4984873,4984920,+,18.12847377,K562
30985,chr17,5007479,5007531,+,4.584678521,HepG2
30986,chr17,5024450,5024603,+,9.018480385,K562
5600,chr9,5127430,5127523,+,4.782928436,K562
3218,chr3,5180663,5180724,+,5.046799405,K562
23145,chr20,5195955,5196015,+,3.991571025,K562
755,chr19,5205898,5205933,-,19.86982711,K562
754,chr19,5205858,5205898,-,7.235175302,K562
756,chr19,5205933,5205953,-,13.47451464,K562
3219,chr3,5219754,5219885,+,15.27068412,K562
12723,chr11,5248377,5248428,-,400.0,K562
10255,chr11,5249419,5249497,-,23.07642443,K562
26718,chr10,5446648,5446720,+,4.064158778,HepG2
26719,chr10,5451838,5451879,+,4.007253545,HepG2
26720,chr10,5455066,5455113,+,6.247436853,K562
8599,chr7,5623095,5623159,-,3.882310524,HepG2
757,chr19,5691530,5691584,+,52.85078089,K562
768,chr19,5894751,5894814,-,4.227194163,K562
8601,chr7,6024558,6024630,-,50.23527854,K562
8602,chr7,6024630,6024665,-,18.50366549,K562
8600,chr7,6023875,6023928,-,19.71345372,K562
8604,chr7,6161910,6161981,-,3.991571025,K562
8603,chr7,6161884,6161959,-,6.172975844,K562
17223,chr1,6185811,6185871,-,5.287361324,K562
771,chr19,6210872,6210921,-,3.199661376,HepG2
772,chr19,6211147,6211191,-,4.928765132,HepG2
773,chr19,6211414,6211497,-,3.476468913,HepG2
774,chr19,6212208,6212256,-,3.424169967,K562
27787,chr4,6269933,6270000,+,4.584678521,HepG2
33924,chr5,6372258,6372337,-,4.681982602,K562
33925,chr5,6372424,6372499,-,4.367798095,K562
29085,chr12,6390786,6390824,+,3.199661376,HepG2
8614,chr7,6421758,6421797,-,3.693916752,HepG2
29090,chr12,6493688,6493784,+,3.511542639,HepG2
775,chr19,6535485,6535554,+,4.996705807,K562
10260,chr11,6601936,6602054,-,6.115291843,K562
17245,chr1,6622855,6622936,+,4.782928436,K562
17246,chr1,6622917,6622965,+,3.882310524,HepG2
17247,chr1,6623726,6623772,+,4.308259517,K562
17243,chr1,6622122,6622165,+,3.189448735,HepG2
8620,chr7,6656186,6656261,+,21.59999765,K562
8622,chr7,6656326,6656383,+,5.37656421,K562
8621,chr7,6656314,6656362,+,8.992954572,K562
8617,chr7,6656093,6656165,+,13.64311616,K562
8616,chr7,6656016,6656056,+,5.456039798,K562
8615,chr7,6655074,6655122,+,3.540116796,K562
8618,chr7,6656109,6656186,+,22.73350348,K562
8619,chr7,6656165,6656267,+,15.00497061,K562
29162,chr12,6669110,6669158,-,5.340467232,HepG2
27821,chr4,6708084,6708138,-,6.863014816,K562
27819,chr4,6707951,6708011,-,7.725388919,K562
27818,chr4,6707924,6708044,-,20.60932979,K562
27820,chr4,6708011,6708056,-,5.845397111,K562
27817,chr4,6707840,6707902,-,7.725388919,K562
27822,chr4,6708505,6708553,-,4.907220775,K562
776,chr19,6729944,6729986,-,4.512902227,HepG2
33934,chr5,6752965,6753028,+,3.016910938,HepG2
33935,chr5,6755643,6755717,+,5.611903774,HepG2
29190,chr12,6870277,6870299,+,3.540116796,K562
29219,chr12,6938682,6938721,+,3.991571025,K562
13021,chrX,7049064,7049122,-,5.229321962,K562
29225,chr12,7130483,7130550,+,4.232507593,HepG2
29226,chr12,7157593,7157639,+,3.96221267,HepG2
5713,chr9,7175413,7175497,+,7.061832456,K562
5712,chr9,7175412,7175441,+,5.572357631,K562
5714,chr9,7175441,7175469,+,5.419897543,K562
31011,chr17,7235627,7235700,-,4.064158778,HepG2
24475,chr6,7251518,7251559,+,4.396348092,K562
24474,chr6,7251193,7251247,+,8.917379406,HepG2
24472,chr6,7251037,7251064,+,5.266761796,K562
24473,chr6,7251039,7251091,+,7.543714759,HepG2
24476,chr6,7251526,7251561,+,3.540116796,K562
24477,chr6,7251680,7251718,+,3.266697184,K562
24478,chr6,7251860,7251911,+,4.734599103,K562
26741,chr10,7284234,7284305,-,5.766439673,K562
31015,chr17,7311395,7311419,+,6.013129016,K562
31029,chr17,7419591,7419626,+,3.189448735,HepG2
33752,chr17,7439479,7439539,+,3.36069115,K562
26742,chr10,7749377,7749398,+,5.779849793,HepG2
26743,chr10,7749437,7749487,+,18.11776015,HepG2
26744,chr10,7749441,7749492,+,7.993139207,HepG2
24494,chr6,7895180,7895202,-,6.364360558,HepG2
837,chr19,7924967,7925018,-,3.36069115,K562
838,chr19,7962462,7962515,-,3.96221267,HepG2
24497,chr6,8079697,8079736,-,3.693916752,HepG2
24495,chr6,8079675,8079734,-,46.0995564,K562
24498,chr6,8079734,8079784,-,17.40491181,K562
24499,chr6,8079735,8079779,-,18.69738772,K562
24496,chr6,8079686,8079735,-,34.85393401,K562
31092,chr17,8159366,8159423,-,6.500825165,K562
31091,chr17,8159311,8159436,-,8.805846564,K562
31093,chr17,8159713,8159750,-,3.36069115,K562
31094,chr17,8226603,8226633,-,5.419897543,K562
12831,chr18,8639279,8639341,+,8.400903298,K562
21420,chr16,8858117,8858190,-,3.189448735,HepG2
17275,chr1,9104309,9104396,-,3.96221267,HepG2
21428,chr16,9103632,9103702,+,5.572357631,K562
21429,chr16,9117136,9117163,+,3.199661376,HepG2
12855,chr18,9402366,9402407,+,5.414279899,K562
10332,chr11,9447046,9447085,+,5.03695252,K562
10328,chr11,9445403,9445461,+,4.070298109,HepG2
10327,chr11,9445401,9445436,+,9.554788084,HepG2
10329,chr11,9445456,9445485,+,3.266697184,K562
10331,chr11,9445926,9445981,+,4.01631793,HepG2
10330,chr11,9445916,9446017,+,5.32198595,HepG2
3239,chr3,9468853,9468911,+,6.062685662,HepG2
12856,chr18,9518591,9518637,+,3.610284393,K562
17276,chr1,9602642,9602709,+,4.512902227,HepG2
3296,chr3,9806917,9806963,+,3.882310524,HepG2
12857,chr18,9923949,9923974,+,3.693916752,HepG2
860,chr19,10110341,10110402,+,4.594322111,HepG2
861,chr19,10111644,10111719,+,4.227194163,K562
862,chr19,10111810,10111853,+,3.536314955,HepG2
3404,chr3,10126320,10126362,+,3.016910938,HepG2
3406,chr3,10126795,10126838,+,4.782928436,K562
3405,chr3,10126795,10126836,+,7.901234481,K562
865,chr19,10285639,10285691,+,5.050337254,HepG2
17316,chr1,10404216,10404273,+,3.882310524,HepG2
17317,chr1,10413181,10413224,+,6.17462069,HepG2
27840,chr4,10439924,10440054,-,6.466817015,K562
10392,chr11,10511969,10512069,-,3.266697184,K562
10393,chr11,10512317,10512379,-,3.991571025,K562
21430,chr16,10532647,10532699,-,3.511542639,HepG2
23152,chr20,10639218,10639279,-,9.093189112,HepG2
23153,chr20,10639317,10639348,-,5.640136071,HepG2
23154,chr20,10639318,10639374,-,6.923796619,HepG2
23151,chr20,10638959,10639000,-,11.38772457,HepG2
23150,chr20,10638170,10638211,-,4.279424552,HepG2
23156,chr20,10639412,10639435,-,5.018185287,HepG2
23155,chr20,10639399,10639440,-,6.647382247,HepG2
23157,chr20,10647961,10647995,-,3.476468913,HepG2
31099,chr17,10675570,10675578,-,3.199661376,HepG2
33953,chr5,10679540,10679600,-,5.046799405,K562
33952,chr5,10679305,10679362,-,7.641893755,K562
8627,chr7,10933484,10933559,-,4.782928436,K562
24500,chr6,10980817,10980861,-,3.536314955,HepG2
17318,chr1,11012677,11012738,+,6.567770441,K562
17319,chr1,11013781,11013878,+,7.553343713,K562
17323,chr1,11022259,11022385,+,33.27191418,K562
24501,chr6,11138639,11138692,+,5.075872175,K562
24505,chr6,11185305,11185352,-,7.543133147,HepG2
24507,chr6,11190297,11190347,-,4.594322111,HepG2
24508,chr6,11190489,11190526,-,4.52966126,HepG2
24509,chr6,11191151,11191199,-,7.65680713,HepG2
24510,chr6,11191158,11191202,-,6.062685662,HepG2
24511,chr6,11193590,11193620,-,5.059304654,HepG2
24512,chr6,11213365,11213383,-,4.557780101,HepG2
24514,chr6,11213642,11213725,-,27.90308999,HepG2
24513,chr6,11213550,11213642,-,22.56095166,HepG2
12858,chr18,11852482,11852566,+,4.070298109,HepG2
17352,chr1,11920014,11920061,-,5.089872757,HepG2
17351,chr1,11919618,11919717,-,6.466272034,K562
17354,chr1,11920169,11920207,-,3.016910938,HepG2
17353,chr1,11920020,11920062,-,4.739795003,HepG2
26745,chr10,12121513,12121540,+,3.199661376,HepG2
24515,chr6,12163717,12163772,+,3.991571025,K562
17467,chr1,12191776,12191817,+,3.424169967,K562
29295,chr12,12474780,12474816,-,4.512902227,HepG2
29294,chr12,12474280,12474327,-,5.018185287,HepG2
29300,chr12,12477848,12477900,-,6.374716263,HepG2
29299,chr12,12477105,12477187,-,5.018185287,HepG2
29298,chr12,12477061,12477105,-,3.96221267,HepG2
17483,chr1,12568260,12568310,-,6.360025702,HepG2
17482,chr1,12568256,12568312,-,4.734599103,K562
1225,chr19,12793141,12793200,+,10.02047102,K562
1221,chr19,12793071,12793140,+,21.61032016,K562
1224,chr19,12793140,12793195,+,7.087014108,K562
1223,chr19,12793075,12793123,+,3.199661376,HepG2
1222,chr19,12793072,12793186,+,4.007253545,HepG2
1229,chr19,12797132,12797157,-,6.464207677,K562
1242,chr19,12884681,12884722,-,6.577553636,K562
1243,chr19,12884851,12884877,-,5.917793237,K562
14711,chr8,13083410,13083515,-,5.577359118,HepG2
14712,chr8,13083856,13083913,-,4.545455288,HepG2
1276,chr19,13099162,13099199,-,4.396348092,K562
1277,chr19,13099200,13099255,-,5.456039798,K562
24516,chr6,13787794,13787858,-,3.991571025,K562
1304,chr19,13961358,13961412,+,3.424169967,K562
1305,chr19,13962050,13962122,-,3.36069115,K562
1306,chr19,14087911,14088042,-,18.20585367,K562
1319,chr19,14119880,14119986,-,6.099840782,K562
1320,chr19,14119910,14119961,-,4.619541281,K562
3528,chr3,14141674,14141724,+,5.340467232,HepG2
31101,chr17,14303978,14304014,+,3.536314955,HepG2
31100,chr17,14303876,14303927,+,6.327809749,HepG2
31102,chr17,14304742,14304772,+,3.199661376,HepG2
31103,chr17,14345940,14345999,+,4.640911235,HepG2
28722,chr21,14371159,14371270,-,4.628865613,K562
28723,chr21,14371236,14371387,-,7.566486339,K562
1332,chr19,14458255,14458293,+,3.915254684,K562
1424,chr19,14566182,14566228,-,4.996705807,K562
26752,chr10,14843467,14843510,+,3.693916752,HepG2
21466,chr16,15060748,15060792,-,6.29980467,HepG2
26753,chr10,15211796,15211853,-,4.512902227,HepG2
26755,chr10,15212349,15212393,-,3.511542639,HepG2
26754,chr10,15212178,15212212,-,3.199661376,HepG2
17484,chr1,15219669,15219711,+,3.504713402,HepG2
3544,chr3,15410414,15410419,-,3.189448735,HepG2
17485,chr1,15430062,15430122,+,4.017282261,K562
3547,chr3,15442315,15442369,+,5.572357631,K562
3546,chr3,15442209,15442307,+,6.577553636,K562
3548,chr3,15442492,15442529,+,4.308259517,K562
3545,chr3,15442119,15442153,+,3.915254684,K562
21469,chr16,15701588,15701685,+,3.540116796,K562
17486,chr1,15729856,15729899,+,3.540116796,K562
17493,chr1,15934670,15934705,+,3.96221267,HepG2
17501,chr1,16124565,16124616,-,15.8009665,HepG2
17500,chr1,16124502,16124566,-,11.90822756,HepG2
17506,chr1,16125004,16125112,-,23.01654963,HepG2
17505,chr1,16124880,16124911,-,3.917588427,HepG2
17502,chr1,16124571,16124624,-,28.3492749,HepG2
17503,chr1,16124684,16124727,-,7.65680713,HepG2
17507,chr1,16125027,16125103,-,9.349688202,HepG2
17504,chr1,16124740,16124772,-,4.545455288,HepG2
27846,chr4,16162997,16163053,-,3.36069115,K562
31126,chr17,16382527,16382552,+,4.628865613,K562
31301,chr17,17042788,17042848,+,3.882310524,HepG2
31302,chr17,17136231,17136285,+,3.016910938,HepG2
27620,chr10,17229280,17229331,-,4.017282261,K562
1487,chr19,17231986,17232066,-,7.061832456,K562
1488,chr19,17232014,17232062,-,4.308259517,K562
26756,chr10,17235849,17235894,+,5.018019887,K562
17534,chr1,17408281,17408335,-,28.62202024,K562
17535,chr1,17408624,17408660,-,6.793337622,K562
17532,chr1,17407942,17408013,-,5.018185287,HepG2
17533,chr1,17408120,17408161,-,3.189448735,HepG2
28770,chr21,17569285,17569335,+,5.567766748,HepG2
28769,chr21,17569169,17569246,+,6.752025261,HepG2
28773,chr21,17612522,17612561,-,3.424169967,K562
27848,chr4,17623952,17624011,+,8.433303305,K562
27847,chr4,17623933,17624004,+,10.41318773,K562
27849,chr4,17625297,17625342,+,5.419897543,K562
33756,chr17,17681722,17681779,+,3.96221267,HepG2
24567,chr6,17706409,17706451,-,4.739795003,HepG2
1577,chr19,17726131,17726191,+,3.36069115,K562
27852,chr4,17800806,17800861,-,29.6846175,K562
27853,chr4,17800807,17800857,-,5.529101386,HepG2
27850,chr4,17800734,17800806,-,23.81389162,K562
27851,chr4,17800779,17800857,-,20.44591079,K562
28705,chr4,17810997,17811032,+,4.512902227,HepG2
31313,chr17,17811798,17811833,-,5.271256259,K562
31329,chr17,17812756,17812777,-,4.017282261,K562
23177,chr20,18142622,18142701,+,4.007253545,HepG2
1584,chr19,18279785,18279819,-,5.611903774,HepG2
1587,chr19,18280421,18280430,-,5.639574165,HepG2
1586,chr19,18280332,18280350,-,7.313698338,HepG2
1585,chr19,18280326,18280344,-,5.572357631,K562
1583,chr19,18279784,18279826,-,10.65844678,HepG2
31376,chr17,18323242,18323293,+,3.199661376,HepG2
1591,chr19,18367377,18367426,+,4.01631793,HepG2
1592,chr19,18388465,18388502,+,3.540116796,K562
1598,chr19,18389087,18389140,+,6.500825165,K562
1599,chr19,18389090,18389135,+,13.66880783,HepG2
1597,chr19,18389081,18389133,+,30.15911639,HepG2
1595,chr19,18388979,18389049,+,16.27983466,K562
1596,chr19,18389079,18389150,+,17.34211461,K562
1593,chr19,18388938,18389031,+,8.356349468,K562
1594,chr19,18388945,18389027,+,23.19900127,HepG2
24607,chr6,18467413,18467451,+,3.96221267,HepG2
1604,chr19,18538425,18538433,-,4.619541281,K562
1605,chr19,18539370,18539375,-,4.619541281,K562
1606,chr19,18557856,18557915,+,3.805119784,K562
1607,chr19,18576337,18576375,+,3.424169967,K562
26757,chr10,18677024,18677090,+,4.52966126,HepG2
21488,chr16,18791719,18791824,-,26.27523619,HepG2
21490,chr16,18791749,18791793,-,25.18621892,K562
21489,chr16,18791740,18791819,-,28.87876854,K562
21492,chr16,18791793,18791841,-,24.86879851,K562
21497,chr16,18792446,18792479,-,8.131288571,HepG2
21496,chr16,18792019,18792084,-,14.21281592,HepG2
21494,chr16,18791874,18791967,-,26.38188912,K562
21493,chr16,18791869,18791975,-,38.03556122,K562
21495,chr16,18791879,18791970,-,13.13655222,HepG2
21491,chr16,18791766,18791812,-,12.01108684,HepG2
16138,chr22,19038884,19038924,-,4.739795003,HepG2
5715,chr9,19050696,19050760,+,6.29980467,HepG2
31378,chr17,19062086,19062139,+,33.69960562,K562
31379,chr17,19062089,19062136,+,17.0711933,HepG2
31377,chr17,19062071,19062140,+,46.33280966,K562
1660,chr19,19112592,19112659,+,3.805119784,K562
1659,chr19,19112109,19112160,+,4.907220775,K562
1661,chr19,19112659,19112723,+,4.308259517,K562
21511,chr16,19115496,19115574,+,4.512902227,HepG2
5716,chr9,19116042,19116088,-,6.923796619,HepG2
16139,chr22,19121565,19121622,-,5.229321962,K562
16150,chr22,19359346,19359388,-,4.227194163,K562
16155,chr22,19443036,19443095,-,6.180812464,K562
8633,chr7,19696968,19697018,-,3.36069115,K562
16170,chr22,19724280,19724322,+,5.347881548,K562
16175,chr22,19787184,19787263,-,4.105895486,K562
31383,chr17,19905253,19905311,-,4.640911235,HepG2
16208,chr22,19970357,19970444,-,8.593988107,K562
16209,chr22,19970671,19970700,-,3.540116796,K562
16207,chr22,19970262,19970321,-,9.018480385,K562
16206,chr22,19970032,19970066,-,4.105895486,K562
35414,chr2,19992680,19992711,-,6.327809749,HepG2
35412,chr2,19992193,19992223,-,3.016910938,HepG2
