,chrom,start,end,GENCODE_ID
22273,chr1,1051985,1053977,ENST00000461111.1
22274,chr1,1054823,1056112,ENST00000461111.1
9652,chr19,1086573,1088720,ENST00000615234.5
9661,chr19,1105664,1106266,ENST00000592940.2
9669,chr19,1206823,1207203,ENST00000589152.5
22338,chr1,1233268,1235041,ENST00000379198.5
22342,chr1,1292390,1293563,ENST00000354700.10
32739,chr6,1313916,1314758,ENST00000296839.5
14092,chr4,1385961,1395989,ENST00000511216.6
14093,chr4,1385961,1395989,ENST00000511216.6
9834,chr19,1438806,1440253,ENST00000592700.2
29193,chr16,1445383,1446717,ENST00000699948.1
19652,chr5,1461426,1463650,ENST00000283415.4
19649,chr5,1461426,1463650,ENST00000283415.4
19651,chr5,1461426,1463650,ENST00000283415.4
19650,chr5,1461426,1463650,ENST00000283415.4
7062,chr7,1470276,1470576,ENST00000404767.8
9847,chr19,1491165,1491384,ENST00000591735.2
7065,chr7,1540375,1543043,ENST00000343242.9
22383,chr1,1541672,1542065,ENST00000291386.4
9850,chr19,1554671,1555562,ENST00000402693.5
9917,chr19,1621837,1621970,ENST00000705032.1
16651,chr17,1651413,1651553,ENST00000703538.1
16652,chr17,1661905,1662153,ENST00000703538.1
2069,chr12,1754257,1754514,ENST00000537545.1
26427,chr11,1759515,1759639,ENST00000678991.1
2074,chr12,1786072,1788674,ENST00000357103.5
2075,chr12,1786072,1788674,ENST00000357103.5
2073,chr12,1786072,1788674,ENST00000357103.5
2077,chr12,1786072,1788674,ENST00000357103.5
2076,chr12,1786072,1788674,ENST00000357103.5
19653,chr5,1801420,1801549,ENST00000510329.1
29248,chr16,1827904,1828910,ENST00000427358.5
9929,chr19,1852398,1854458,ENST00000250916.6
9931,chr19,1852398,1854458,ENST00000250916.6
9930,chr19,1852398,1854458,ENST00000250916.6
9928,chr19,1852398,1854458,ENST00000250916.6
9932,chr19,1852398,1854458,ENST00000250916.6
9937,chr19,1852398,1854458,ENST00000250916.6
9951,chr19,1978601,1978750,ENST00000590106.5
9952,chr19,1980203,1981338,ENST00000255641.13
9953,chr19,1980203,1981338,ENST00000255641.13
9954,chr19,1980203,1981338,ENST00000255641.13
9955,chr19,1985447,1986487,ENST00000255608.9
9964,chr19,2037470,2039612,ENST00000250896.9
9971,chr19,2041839,2042034,ENST00000586828.5
29258,chr16,2076490,2077726,ENST00000644417.2
12673,chr20,2143783,2148555,ENST00000381482.8
12671,chr20,2143783,2148555,ENST00000381482.8
12672,chr20,2143783,2148555,ENST00000381482.8
12674,chr20,2143783,2148555,ENST00000381482.8
12670,chr20,2143783,2148555,ENST00000381482.8
9990,chr19,2229792,2232578,ENST00000398665.8
14189,chr4,2247431,2250543,ENST00000337190.7
7067,chr7,2251769,2255055,ENST00000222990.8
7066,chr7,2251769,2255055,ENST00000222990.8
10019,chr19,2274630,2275679,ENST00000342063.5
22451,chr1,2306765,2310213,ENST00000378536.5
22452,chr1,2306765,2310213,ENST00000378536.5
22453,chr1,2306765,2310213,ENST00000378536.5
16665,chr17,2323873,2325260,ENST00000344595.10
10024,chr19,2341018,2342503,ENST00000618220.4
10037,chr19,2428165,2430910,ENST00000325327.4
10036,chr19,2428165,2430910,ENST00000325327.4
10039,chr19,2428165,2430910,ENST00000325327.4
10038,chr19,2428165,2430910,ENST00000325327.4
10035,chr19,2428165,2430910,ENST00000325327.4
12679,chr20,2461641,2461928,ENST00000381342.7
12678,chr20,2461641,2461928,ENST00000381342.7
12677,chr20,2461641,2461928,ENST00000381342.7
12681,chr20,2463088,2463227,ENST00000474384.2
12682,chr20,2463746,2463899,ENST00000474384.2
29324,chr16,2597767,2603188,ENST00000342085.9
29325,chr16,2597767,2603188,ENST00000342085.9
29326,chr16,2707327,2709030,ENST00000301738.9
29328,chr16,2707327,2709030,ENST00000301738.9
29327,chr16,2707327,2709030,ENST00000301738.9
10040,chr19,2714566,2717209,ENST00000323469.5
2079,chr12,2803258,2805423,ENST00000001008.6
2078,chr12,2803258,2805423,ENST00000001008.6
14197,chr4,2932044,2932153,ENST00000507272.5
12704,chr20,3047869,3048250,ENST00000380325.4
12703,chr20,3047869,3048250,ENST00000380325.4
10112,chr19,3055663,3055704,ENST00000585557.1
12479,chr19,3532482,3532650,ENST00000586212.1
35000,chr2,3575322,3575350,ENST00000491937.6
15156,chrX,3604339,3608945,ENST00000262848.6
12711,chr20,3646847,3651118,ENST00000262919.10
12712,chr20,3646847,3651118,ENST00000262919.10
12709,chr20,3646847,3651118,ENST00000262919.10
12710,chr20,3646847,3651118,ENST00000262919.10
29402,chr16,3657953,3665472,ENST00000407479.5
29411,chr16,3725053,3727717,ENST00000262367.10
29409,chr16,3725053,3727717,ENST00000262367.10
29407,chr16,3725053,3727717,ENST00000262367.10
29408,chr16,3725053,3727717,ENST00000262367.10
29410,chr16,3725053,3727717,ENST00000262367.10
32752,chr6,3751110,3753871,ENST00000603791.1
32751,chr6,3751110,3753871,ENST00000603791.1
12721,chr20,3783850,3784683,ENST00000379751.5
12722,chr20,3804820,3805237,ENST00000467519.5
12743,chr20,3822101,3822293,ENST00000620777.1
29414,chr16,3962652,3965774,ENST00000294016.8
29412,chr16,3962652,3965774,ENST00000294016.8
29413,chr16,3962652,3965774,ENST00000294016.8
10163,chr19,4037875,4039386,ENST00000262971.3
10166,chr19,4037875,4039386,ENST00000262971.3
10165,chr19,4037875,4039386,ENST00000262971.3
10164,chr19,4037875,4039386,ENST00000262971.3
10168,chr19,4043302,4047751,ENST00000322357.9
10167,chr19,4043302,4047751,ENST00000322357.9
29415,chr16,4257185,4258054,ENST00000204517.11
16685,chr17,4269258,4272516,ENST00000396981.7
29417,chr16,4343206,4343291,ENST00000575334.5
29416,chr16,4343206,4343291,ENST00000575334.5
4127,chr3,4361145,4362143,ENST00000272902.10
4128,chr3,4361145,4362143,ENST00000272902.10
29420,chr16,4382899,4383538,ENST00000304735.4
29418,chr16,4382899,4383538,ENST00000304735.4
29419,chr16,4382899,4383538,ENST00000304735.4
12480,chr19,4402701,4402814,ENST00000587580.1
10169,chr19,4408877,4409207,ENST00000587580.1
10170,chr19,4443025,4443397,ENST00000301280.10
16686,chr17,4538903,4539414,ENST00000254718.9
16687,chr17,4538903,4539414,ENST00000254718.9
10189,chr19,4542592,4544529,ENST00000677828.1
10190,chr19,4546391,4546469,ENST00000677828.1
10191,chr19,4548026,4548173,ENST00000677828.1
10192,chr19,4657544,4658004,ENST00000262947.8
10193,chr19,4657544,4658004,ENST00000262947.8
7089,chr7,4762464,4771442,ENST00000328914.5
7097,chr7,4762464,4771442,ENST00000328914.5
7093,chr7,4762464,4771442,ENST00000328914.5
7094,chr7,4762464,4771442,ENST00000328914.5
7090,chr7,4762464,4771442,ENST00000328914.5
7099,chr7,4762464,4771442,ENST00000328914.5
7095,chr7,4762464,4771442,ENST00000328914.5
7096,chr7,4762464,4771442,ENST00000328914.5
7092,chr7,4762464,4771442,ENST00000328914.5
7098,chr7,4762464,4771442,ENST00000328914.5
7091,chr7,4762464,4771442,ENST00000328914.5
32753,chr6,4776441,4776807,ENST00000472453.5
32754,chr6,4776441,4776807,ENST00000472453.5
16688,chr17,4787056,4789162,ENST00000623798.1
10195,chr19,4793864,4801273,ENST00000269856.5
10194,chr19,4793864,4801273,ENST00000269856.5
4184,chr3,4982835,4983268,ENST00000467610.1
4185,chr3,4982835,4983268,ENST00000467610.1
4198,chr3,4983692,4985323,ENST00000256495.4
4191,chr3,4983692,4985323,ENST00000256495.4
4192,chr3,4983692,4985323,ENST00000256495.4
4207,chr3,4983692,4985323,ENST00000256495.4
4206,chr3,4983692,4985323,ENST00000256495.4
4199,chr3,4983692,4985323,ENST00000256495.4
4190,chr3,4983692,4985323,ENST00000256495.4
4189,chr3,4983692,4985323,ENST00000256495.4
4203,chr3,4983692,4985323,ENST00000256495.4
4202,chr3,4983692,4985323,ENST00000256495.4
4205,chr3,4983692,4985323,ENST00000256495.4
4204,chr3,4983692,4985323,ENST00000256495.4
4188,chr3,4983692,4985323,ENST00000256495.4
4197,chr3,4983692,4985323,ENST00000256495.4
4187,chr3,4983692,4985323,ENST00000256495.4
4186,chr3,4983692,4985323,ENST00000256495.4
4193,chr3,4983692,4985323,ENST00000256495.4
4194,chr3,4983692,4985323,ENST00000256495.4
4200,chr3,4983692,4985323,ENST00000256495.4
4201,chr3,4983692,4985323,ENST00000256495.4
4195,chr3,4983692,4985323,ENST00000256495.4
4196,chr3,4983692,4985323,ENST00000256495.4
16715,chr17,5007464,5007542,ENST00000572959.1
16716,chr17,5024151,5028401,ENST00000320785.10
31096,chr9,5126791,5129948,ENST00000381652.4
4208,chr3,5178713,5180911,ENST00000256496.8
12782,chr20,5190234,5197887,ENST00000460006.6
10209,chr19,5205507,5206773,ENST00000262963.11
10211,chr19,5205507,5206773,ENST00000262963.11
10210,chr19,5205507,5206773,ENST00000262963.11
4209,chr3,5215918,5219958,ENST00000256497.9
29007,chr11,5248427,5248487,ENST00000632727.1
26539,chr11,5249367,5249551,ENST00000632727.1
1112,chr10,5446608,5446858,ENST00000486354.1
1113,chr10,5451829,5451937,ENST00000486354.1
1114,chr10,5454947,5455118,ENST00000484741.1
7128,chr7,5622694,5623179,ENST00000389900.8
10212,chr19,5691510,5691653,ENST00000579446.1
10223,chr19,5894674,5896402,ENST00000592634.5
7131,chr7,6022246,6024672,ENST00000199389.11
7130,chr7,6022246,6024672,ENST00000199389.11
7129,chr7,6022246,6024672,ENST00000199389.11
7133,chr7,6161778,6164943,ENST00000350796.8
7132,chr7,6161778,6164943,ENST00000350796.8
22460,chr1,6185019,6186671,ENST00000234875.9
10229,chr19,6210380,6213041,ENST00000252674.9
10226,chr19,6210380,6213041,ENST00000252674.9
10227,chr19,6210380,6213041,ENST00000252674.9
10228,chr19,6210380,6213041,ENST00000252674.9
14207,chr4,6269849,6270014,ENST00000506588.6
19654,chr5,6371873,6372502,ENST00000255764.4
19655,chr5,6371873,6372502,ENST00000255764.4
2099,chr12,6390659,6391571,ENST00000441074.3
7143,chr7,6421726,6421804,ENST00000454738.5
2104,chr12,6493400,6494075,ENST00000536538.1
10230,chr19,6535066,6535924,ENST00000245817.5
26544,chr11,6601851,6602126,ENST00000530762.1
22484,chr1,6621637,6624030,ENST00000377648.5
22480,chr1,6621637,6624030,ENST00000377648.5
22482,chr1,6621637,6624030,ENST00000377648.5
22483,chr1,6621637,6624030,ENST00000377648.5
7145,chr7,6654611,6658279,ENST00000382252.6
7146,chr7,6654611,6658279,ENST00000382252.6
7147,chr7,6654611,6658279,ENST00000382252.6
7148,chr7,6654611,6658279,ENST00000382252.6
7149,chr7,6654611,6658279,ENST00000382252.6
7150,chr7,6654611,6658279,ENST00000382252.6
7144,chr7,6654611,6658279,ENST00000382252.6
7151,chr7,6654611,6658279,ENST00000382252.6
2176,chr12,6669030,6669184,ENST00000396799.3
14238,chr4,6707700,6708643,ENST00000320848.7
14242,chr4,6707700,6708643,ENST00000320848.7
14239,chr4,6707700,6708643,ENST00000320848.7
14237,chr4,6707700,6708643,ENST00000320848.7
14241,chr4,6707700,6708643,ENST00000320848.7
14240,chr4,6707700,6708643,ENST00000320848.7
10231,chr19,6729913,6730311,ENST00000264080.12
19664,chr5,6752872,6753037,ENST00000514697.1
19665,chr5,6754945,6757044,ENST00000230859.8
2204,chr12,6870264,6870571,ENST00000474253.1
2233,chr12,6938480,6938965,ENST00000541029.1
15157,chrX,7048919,7050295,ENST00000381077.10
2239,chr12,7130427,7130484,ENST00000541667.5
2240,chr12,7157488,7157691,ENST00000537408.1
31210,chr9,7174729,7175648,ENST00000381309.8
31208,chr9,7174729,7175648,ENST00000381309.8
31209,chr9,7174729,7175648,ENST00000381309.8
16741,chr17,7235625,7235840,ENST00000613632.4
32786,chr6,7248968,7251980,ENST00000379938.7
32787,chr6,7248968,7251980,ENST00000379938.7
32788,chr6,7248968,7251980,ENST00000379938.7
32784,chr6,7248968,7251980,ENST00000379938.7
32782,chr6,7248968,7251980,ENST00000379938.7
32783,chr6,7248968,7251980,ENST00000379938.7
32785,chr6,7248968,7251980,ENST00000379938.7
1135,chr10,7284172,7285829,ENST00000379713.8
16745,chr17,7311323,7311578,ENST00000570780.5
16759,chr17,7417799,7419860,ENST00000302926.7
19482,chr17,7439505,7441581,ENST00000575331.1
1137,chr10,7749334,7749520,ENST00000358415.9
1136,chr10,7749334,7749520,ENST00000358415.9
1138,chr10,7749334,7749520,ENST00000358415.9
32804,chr6,7895105,7895202,ENST00000439343.2
10292,chr19,7924490,7925289,ENST00000318978.6
10293,chr19,7958572,7963482,ENST00000407627.7
32807,chr6,8079394,8079889,ENST00000379715.10
32805,chr6,8079394,8079889,ENST00000379715.10
32806,chr6,8079394,8079889,ENST00000379715.10
32809,chr6,8079394,8079889,ENST00000379715.10
32808,chr6,8079394,8079889,ENST00000379715.10
16822,chr17,8159148,8160854,ENST00000316509.11
16821,chr17,8159148,8160854,ENST00000316509.11
16823,chr17,8159148,8160854,ENST00000316509.11
16824,chr17,8224814,8228179,ENST00000651323.1
6529,chr18,8638262,8639383,ENST00000649141.2
29472,chr16,8858089,8858345,ENST00000562843.5
22512,chr1,9100304,9104418,ENST00000377411.5
29480,chr16,9103273,9113181,ENST00000574285.2
29481,chr16,9116912,9121635,ENST00000327827.12
6553,chr18,9399527,9402420,ENST00000262120.10
26616,chr11,9445194,9448127,ENST00000379719.8
26614,chr11,9445194,9448127,ENST00000379719.8
26613,chr11,9445194,9448127,ENST00000379719.8
26615,chr11,9445194,9448127,ENST00000379719.8
26611,chr11,9445194,9448127,ENST00000379719.8
26612,chr11,9445194,9448127,ENST00000379719.8
4229,chr3,9467230,9470929,ENST00000687014.1
6554,chr18,9517329,9520199,ENST00000609094.2
22513,chr1,9602291,9604954,ENST00000340305.9
4286,chr3,9806215,9807101,ENST00000397261.8
6555,chr18,9923919,9924021,ENST00000411206.1
10315,chr19,10110323,10110402,ENST00000468881.1
10317,chr19,10111165,10112012,ENST00000253107.12
10316,chr19,10111165,10112012,ENST00000253107.12
4395,chr3,10126295,10127190,ENST00000530758.2
4396,chr3,10126295,10127190,ENST00000530758.2
4394,chr3,10126295,10127190,ENST00000530758.2
10320,chr19,10285287,10286615,ENST00000264832.8
22553,chr1,10404160,10404276,ENST00000477958.5
22554,chr1,10412833,10413251,ENST00000493288.1
14260,chr4,10439879,10443103,ENST00000326756.4
26677,chr11,10511672,10514915,ENST00000265981.7
26676,chr11,10511672,10514915,ENST00000265981.7
29482,chr16,10528421,10532904,ENST00000359543.8
12792,chr20,10637683,10639497,ENST00000254958.10
12793,chr20,10637683,10639497,ENST00000254958.10
12791,chr20,10637683,10639497,ENST00000254958.10
12788,chr20,10637683,10639497,ENST00000254958.10
12790,chr20,10637683,10639497,ENST00000254958.10
12789,chr20,10637683,10639497,ENST00000254958.10
12787,chr20,10637683,10639497,ENST00000254958.10
12794,chr20,10647959,10648110,ENST00000622545.1
16829,chr17,10672473,10681118,ENST00000255390.10
19682,chr5,10679229,10681055,ENST00000230895.11
19683,chr5,10679229,10681055,ENST00000230895.11
7156,chr7,10931942,10933635,ENST00000339600.6
32810,chr6,10980758,10983780,ENST00000354666.4
22555,chr1,11012653,11012743,ENST00000613864.4
22556,chr1,11013715,11013965,ENST00000613864.4
22560,chr1,11022123,11022858,ENST00000439080.6
32811,chr6,11134602,11138733,ENST00000416247.4
32815,chr6,11183305,11185671,ENST00000448183.6
32817,chr6,11189963,11191205,ENST00000448183.6
32819,chr6,11189963,11191205,ENST00000448183.6
32820,chr6,11189963,11191205,ENST00000448183.6
32818,chr6,11189963,11191205,ENST00000448183.6
32821,chr6,11193590,11193692,ENST00000448183.6
32823,chr6,11213280,11213701,ENST00000448183.6
32822,chr6,11213280,11213701,ENST00000448183.6
32824,chr6,11213280,11213701,ENST00000448183.6
6556,chr18,11852111,11854444,ENST00000526991.3
22590,chr1,11919590,11920314,ENST00000376572.8
22591,chr1,11919590,11920314,ENST00000376572.8
22589,chr1,11919590,11920314,ENST00000376572.8
22588,chr1,11919590,11920314,ENST00000376572.8
1139,chr10,12120888,12123221,ENST00000263035.9
32825,chr6,12163282,12164575,ENST00000399469.2
22704,chr1,12191773,12191923,ENST00000492361.1
2309,chr12,12473281,12476832,ENST00000298573.9
2308,chr12,12473281,12476832,ENST00000298573.9
2312,chr12,12475896,12478015,ENST00000228862.3
2314,chr12,12475896,12478015,ENST00000228862.3
2313,chr12,12475896,12478015,ENST00000228862.3
22719,chr1,12567909,12568339,ENST00000616661.5
22720,chr1,12567909,12568339,ENST00000616661.5
10680,chr19,12792815,12793315,ENST00000302754.6
10677,chr19,12792815,12793315,ENST00000302754.6
10678,chr19,12792815,12793315,ENST00000302754.6
10679,chr19,12792815,12793315,ENST00000302754.6
10676,chr19,12792815,12793315,ENST00000302754.6
10684,chr19,12796819,12797135,ENST00000334482.9
10697,chr19,12884421,12884884,ENST00000264834.6
10698,chr19,12884421,12884884,ENST00000264834.6
37859,chr8,13083360,13085810,ENST00000276297.9
37858,chr8,13083360,13085810,ENST00000276297.9
10731,chr19,13099032,13099318,ENST00000264824.5
10732,chr19,13099032,13099318,ENST00000264824.5
32826,chr6,13786556,13790808,ENST00000379170.9
10759,chr19,13960995,13961449,ENST00000254337.11
10760,chr19,13961529,13962694,ENST00000254325.9
10761,chr19,14087850,14088416,ENST00000533683.7
10775,chr19,14119511,14120458,ENST00000263382.8
10774,chr19,14119511,14120458,ENST00000263382.8
4518,chr3,14141592,14143666,ENST00000432444.2
16831,chr17,14303853,14305505,ENST00000583262.1
16830,chr17,14303853,14305505,ENST00000583262.1
16832,chr17,14303853,14305505,ENST00000583262.1
16833,chr17,14345646,14349404,ENST00000360954.3
6705,chr21,14371114,14373616,ENST00000285667.4
6704,chr21,14371114,14373616,ENST00000285667.4
10787,chr19,14458231,14458375,ENST00000585839.5
10879,chr19,14566077,14566265,ENST00000593353.5
1146,chr10,14843370,14844737,ENST00000645667.1
29518,chr16,15060032,15061743,ENST00000198767.11
1147,chr10,15211642,15212914,ENST00000378116.9
1149,chr10,15211642,15212914,ENST00000378116.9
1148,chr10,15211642,15212914,ENST00000378116.9
22721,chr1,15219393,15220393,ENST00000434578.6
4534,chr3,15409759,15411255,ENST00000383790.8
22722,chr1,15428724,15430339,ENST00000375980.9
4535,chr3,15439155,15442613,ENST00000396842.7
4538,chr3,15439155,15442613,ENST00000396842.7
4537,chr3,15439155,15442613,ENST00000396842.7
4536,chr3,15439155,15442613,ENST00000396842.7
29521,chr16,15701236,15702118,ENST00000624682.1
22723,chr1,15729844,15729929,ENST00000477849.1
22730,chr1,15928090,15936266,ENST00000438066.2
22744,chr1,16124336,16125214,ENST00000358432.8
22737,chr1,16124336,16125214,ENST00000358432.8
22739,chr1,16124336,16125214,ENST00000358432.8
22740,chr1,16124336,16125214,ENST00000358432.8
22741,chr1,16124336,16125214,ENST00000358432.8
22738,chr1,16124336,16125214,ENST00000358432.8
22743,chr1,16124336,16125214,ENST00000358432.8
22742,chr1,16124336,16125214,ENST00000358432.8
14266,chr4,16160504,16163307,ENST00000405303.7
16856,chr17,16382358,16382745,ENST00000578649.1
17031,chr17,17042759,17042971,ENST00000395807.2
17032,chr17,17136218,17136450,ENST00000584936.2
2014,chr10,17229290,17229985,ENST00000485947.1
10942,chr19,17231882,17232351,ENST00000291442.4
10943,chr19,17231882,17232351,ENST00000291442.4
1150,chr10,17235393,17236379,ENST00000469543.5
22770,chr1,17406759,17409089,ENST00000375436.9
22771,chr1,17406759,17409089,ENST00000375436.9
22772,chr1,17406759,17409089,ENST00000375436.9
22769,chr1,17406759,17409089,ENST00000375436.9
6752,chr21,17565692,17570100,ENST00000284878.12
6751,chr21,17565692,17570100,ENST00000284878.12
6755,chr21,17611772,17614113,ENST00000630155.1
14268,chr4,17623798,17634105,ENST00000237380.12
14267,chr4,17623798,17634105,ENST00000237380.12
14269,chr4,17623798,17634105,ENST00000237380.12
19486,chr17,17681728,17681793,ENST00000489697.1
32877,chr6,17706093,17707344,ENST00000606771.2
11032,chr19,17725828,17726543,ENST00000594212.5
14271,chr4,17800654,17803490,ENST00000382247.6
14272,chr4,17800654,17803490,ENST00000382247.6
14273,chr4,17800654,17803490,ENST00000382247.6
14270,chr4,17800654,17803490,ENST00000382247.6
15125,chr4,17811027,17811188,ENST00000513226.1
17043,chr17,17811333,17812621,ENST00000261646.11
17059,chr17,17812072,17812851,ENST00000395756.5
12814,chr20,18142357,18143169,ENST00000432901.4
11038,chr19,18279693,18280440,ENST00000252818.5
11042,chr19,18279693,18280440,ENST00000252818.5
11039,chr19,18279693,18280440,ENST00000252818.5
11040,chr19,18279693,18280440,ENST00000252818.5
11041,chr19,18279693,18280440,ENST00000252818.5
17106,chr17,18323070,18328056,ENST00000406438.5
11046,chr19,18363583,18369950,ENST00000269919.11
11047,chr19,18388285,18388484,ENST00000594925.1
11048,chr19,18388935,18389176,ENST00000252809.3
11052,chr19,18388935,18389176,ENST00000252809.3
11053,chr19,18388935,18389176,ENST00000252809.3
11051,chr19,18388935,18389176,ENST00000252809.3
11050,chr19,18388935,18389176,ENST00000252809.3
11049,chr19,18388935,18389176,ENST00000252809.3
11054,chr19,18388935,18389176,ENST00000252809.3
32917,chr6,18465067,18468870,ENST00000259939.4
11059,chr19,18538215,18538436,ENST00000601844.5
11060,chr19,18539370,18539400,ENST00000601844.5
11061,chr19,18557837,18557914,ENST00000600796.1
11062,chr19,18575150,18577550,ENST00000442744.7
1151,chr10,18675216,18681639,ENST00000377275.4
29545,chr16,18791668,18793251,ENST00000304414.12
29544,chr16,18791668,18793251,ENST00000304414.12
29548,chr16,18791668,18793251,ENST00000304414.12
29546,chr16,18791668,18793251,ENST00000304414.12
29547,chr16,18791668,18793251,ENST00000304414.12
29543,chr16,18791668,18793251,ENST00000304414.12
29542,chr16,18791668,18793251,ENST00000304414.12
29540,chr16,18791668,18793251,ENST00000304414.12
29541,chr16,18791668,18793251,ENST00000304414.12
29549,chr16,18791668,18793251,ENST00000304414.12
8573,chr22,19036285,19039121,ENST00000389262.8
31211,chr9,19050601,19051025,ENST00000380527.3
17108,chr17,19061911,19062669,ENST00000577988.2
17109,chr17,19061911,19062669,ENST00000577988.2
17107,chr17,19061911,19062669,ENST00000577988.2
11116,chr19,19110876,19113030,ENST00000318596.8
11115,chr19,19110876,19113030,ENST00000318596.8
11114,chr19,19110876,19113030,ENST00000318596.8
29563,chr16,19114640,19116455,ENST00000566735.1
31212,chr9,19115760,19116247,ENST00000276914.7
8574,chr22,19121528,19121952,ENST00000456035.1
8585,chr22,19359335,19359484,ENST00000509549.5
8590,chr22,19440885,19444264,ENST00000399562.9
7162,chr7,19695460,19698315,ENST00000222567.6
8605,chr22,19723853,19724772,ENST00000431044.5
8610,chr22,19783222,19788708,ENST00000329517.11
17113,chr17,19904301,19906226,ENST00000225737.11
8644,chr22,19969895,19970743,ENST00000263207.8
8641,chr22,19969895,19970743,ENST00000263207.8
8643,chr22,19969895,19970743,ENST00000263207.8
8642,chr22,19969895,19970743,ENST00000263207.8
35118,chr2,19992051,19993110,ENST00000407540.8
35119,chr2,19992051,19993110,ENST00000407540.8
35117,chr2,19992051,19993110,ENST00000407540.8
8645,chr22,20021121,20021246,ENST00000479679.5
35131,chr2,20032649,20033204,ENST00000175091.5
35125,chr2,20032649,20033204,ENST00000175091.5
35128,chr2,20032649,20033204,ENST00000175091.5
35122,chr2,20032649,20033204,ENST00000175091.5
35129,chr2,20032649,20033204,ENST00000175091.5
35127,chr2,20032649,20033204,ENST00000175091.5
35123,chr2,20032649,20033204,ENST00000175091.5
35130,chr2,20032649,20033204,ENST00000175091.5
35124,chr2,20032649,20033204,ENST00000175091.5
35126,chr2,20032649,20033204,ENST00000175091.5
8672,chr22,20113117,20113234,ENST00000492988.5
8673,chr22,20142755,20142987,ENST00000472497.1
15187,chrX,20149910,20155397,ENST00000379565.9
15186,chrX,20149910,20155397,ENST00000379565.9
15185,chrX,20149910,20155397,ENST00000379565.9
15184,chrX,20149910,20155397,ENST00000379565.9
4539,chr3,20185974,20186427,ENST00000448208.5
37937,chr8,20212781,20217324,ENST00000523482.5
35190,chr2,20308489,20308584,ENST00000429419.6
8678,chr22,20441518,20442072,ENST00000328879.9
35193,chr2,20448056,20449440,ENST00000272233.6
35191,chr2,20448056,20449440,ENST00000272233.6
35192,chr2,20448056,20449440,ENST00000272233.6
35194,chr2,20448056,20449440,ENST00000272233.6
35198,chr2,20671425,20679243,ENST00000272224.5
35197,chr2,20671425,20679243,ENST00000272224.5
35199,chr2,20671425,20679243,ENST00000272224.5
3930,chr13,20777328,20783721,ENST00000255305.11
8679,chr22,20887836,20891214,ENST00000215730.12
8684,chr22,20949845,20953747,ENST00000354336.8
8682,chr22,20949845,20953747,ENST00000354336.8
8685,chr22,20949845,20953747,ENST00000354336.8
8683,chr22,20949845,20953747,ENST00000354336.8
3931,chr13,20973035,20974869,ENST00000382592.5
29570,chr16,21250820,21253850,ENST00000311620.7
2015,chr10,21534467,21534494,ENST00000471315.5
8762,chr22,21644175,21644299,ENST00000248958.5
