chromosome,start_coord,end_coord,peak_id,strand,RBP_name,experiment_method,sample_or_tissue_used,accession_of_raw_data,confidence_score
chr1,1292540,1292601,human_RBP_eCLIP_ENCODE_605925,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,1305931,1305988,human_RBP_eCLIP_ENCODE_618867,-,DDX6,eCLIP,HepG2,ENCODE,3.88231052433895
chr1,1306373,1306428,human_RBP_eCLIP_ENCODE_618868,-,DDX6,eCLIP,HepG2,ENCODE,5.52910138592038
chr1,1307179,1307305,human_RBP_eCLIP_ENCODE_611449,-,DDX6,eCLIP,K562,ENCODE,6.18081246373538
chr1,1335309,1335383,human_RBP_eCLIP_ENCODE_611451,-,DDX6,eCLIP,K562,ENCODE,9.42795259707599
chr1,1335374,1335513,human_RBP_eCLIP_ENCODE_605927,-,DDX6,eCLIP,K562,ENCODE,16.6903485441507
chr1,1335439,1335500,human_RBP_eCLIP_ENCODE_611452,-,DDX6,eCLIP,K562,ENCODE,8.30785936122335
chr1,1335685,1335709,human_RBP_eCLIP_ENCODE_605928,-,DDX6,eCLIP,K562,ENCODE,10.5089606442441
chr1,1335709,1335734,human_RBP_eCLIP_ENCODE_605929,-,DDX6,eCLIP,K562,ENCODE,7.72538891919452
chr1,1335835,1335875,human_RBP_eCLIP_ENCODE_611453,-,DDX6,eCLIP,K562,ENCODE,4.30825951733495
chr1,1335837,1335868,human_RBP_eCLIP_ENCODE_605930,-,DDX6,eCLIP,K562,ENCODE,5.22932196181957
chr1,1336232,1336246,human_RBP_eCLIP_ENCODE_605931,-,DDX6,eCLIP,K562,ENCODE,4.01728226135989
chr1,1337256,1337301,human_RBP_eCLIP_ENCODE_611454,-,DDX6,eCLIP,K562,ENCODE,3.17873441118284
chr1,1338897,1338923,human_RBP_eCLIP_ENCODE_605932,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,1342919,1342953,human_RBP_eCLIP_ENCODE_605933,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,1343221,1343278,human_RBP_eCLIP_ENCODE_618869,-,DDX6,eCLIP,HepG2,ENCODE,3.88231052433895
chr1,1343347,1343379,human_RBP_eCLIP_ENCODE_605934,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,1343723,1343752,human_RBP_eCLIP_ENCODE_605935,-,DDX6,eCLIP,K562,ENCODE,3.99157102509549
chr1,1344055,1344065,human_RBP_eCLIP_ENCODE_618870,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr1,1344458,1344465,human_RBP_eCLIP_ENCODE_618871,-,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr1,1344465,1344494,human_RBP_eCLIP_ENCODE_618872,-,DDX6,eCLIP,HepG2,ENCODE,4.73979500349767
chr1,1344842,1344923,human_RBP_eCLIP_ENCODE_611455,-,DDX6,eCLIP,K562,ENCODE,8.85922743843594
chr1,1345849,1345892,human_RBP_eCLIP_ENCODE_605936,-,DDX6,eCLIP,K562,ENCODE,3.4241699666762
chr1,1346238,1346285,human_RBP_eCLIP_ENCODE_611456,-,DDX6,eCLIP,K562,ENCODE,3.17873441118284
chr1,1346367,1346417,human_RBP_eCLIP_ENCODE_611457,-,DDX6,eCLIP,K562,ENCODE,3.54563434727899
chr1,1346368,1346411,human_RBP_eCLIP_ENCODE_605937,-,DDX6,eCLIP,K562,ENCODE,4.62886561260517
chr1,1348460,1348521,human_RBP_eCLIP_ENCODE_611458,-,DDX6,eCLIP,K562,ENCODE,5.07587217469582
chr1,1374099,1374221,human_RBP_eCLIP_ENCODE_611459,-,DDX6,eCLIP,K562,ENCODE,13.5037208975411
chr1,1375084,1375149,human_RBP_eCLIP_ENCODE_605938,-,DDX6,eCLIP,K562,ENCODE,5.92084264080577
chr1,1430991,1431040,human_RBP_eCLIP_ENCODE_615829,-,DDX6,eCLIP,HepG2,ENCODE,4.64091123543591
chr1,1433487,1433492,human_RBP_eCLIP_ENCODE_618873,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr1,1433492,1433511,human_RBP_eCLIP_ENCODE_618874,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr1,1435763,1435817,human_RBP_eCLIP_ENCODE_618875,+,DDX6,eCLIP,HepG2,ENCODE,5.9671013343177
chr1,1437270,1437317,human_RBP_eCLIP_ENCODE_618876,+,DDX6,eCLIP,HepG2,ENCODE,3.88231052433895
chr1,1472132,1472189,human_RBP_eCLIP_ENCODE_605939,+,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,1495993,1496098,human_RBP_eCLIP_ENCODE_605940,+,DDX6,eCLIP,K562,ENCODE,12.556906381285
chr1,1496027,1496145,human_RBP_eCLIP_ENCODE_611460,+,DDX6,eCLIP,K562,ENCODE,5.41989754259813
chr1,1534349,1534401,human_RBP_eCLIP_ENCODE_605941,+,DDX6,eCLIP,K562,ENCODE,3.68218541160968
chr1,1534555,1534651,human_RBP_eCLIP_ENCODE_605942,+,DDX6,eCLIP,K562,ENCODE,7.72243662394408
chr1,1534579,1534629,human_RBP_eCLIP_ENCODE_618878,+,DDX6,eCLIP,HepG2,ENCODE,3.88231052433895
chr1,1541890,1541998,human_RBP_eCLIP_ENCODE_611461,-,DDX6,eCLIP,K562,ENCODE,15.2894764674684
chr1,1574615,1574667,human_RBP_eCLIP_ENCODE_605943,-,DDX6,eCLIP,K562,ENCODE,4.61954128095805
chr1,1574690,1574751,human_RBP_eCLIP_ENCODE_605944,-,DDX6,eCLIP,K562,ENCODE,3.68218541160968
chr1,1626872,1626948,human_RBP_eCLIP_ENCODE_615830,+,DDX6,eCLIP,HepG2,ENCODE,3.51154263864523
chr1,1665206,1665253,human_RBP_eCLIP_ENCODE_605946,-,DDX6,eCLIP,K562,ENCODE,3.68218541160968
chr1,1778361,1778425,human_RBP_eCLIP_ENCODE_605947,-,DDX6,eCLIP,K562,ENCODE,4.62886561260517
chr1,1785826,1785840,human_RBP_eCLIP_ENCODE_605948,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,1786182,1786221,human_RBP_eCLIP_ENCODE_615831,-,DDX6,eCLIP,HepG2,ENCODE,3.51154263864523
chr1,1786427,1786463,human_RBP_eCLIP_ENCODE_615832,-,DDX6,eCLIP,HepG2,ENCODE,3.51154263864523
chr1,1871449,1871481,human_RBP_eCLIP_ENCODE_618879,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr1,1876501,1876560,human_RBP_eCLIP_ENCODE_618880,-,DDX6,eCLIP,HepG2,ENCODE,5.01818528745842
chr1,1890874,1891007,human_RBP_eCLIP_ENCODE_611462,-,DDX6,eCLIP,K562,ENCODE,28.1407355773961
chr1,1890881,1890995,human_RBP_eCLIP_ENCODE_605949,-,DDX6,eCLIP,K562,ENCODE,40.3687389166167
chr1,2107811,2107858,human_RBP_eCLIP_ENCODE_618881,+,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr1,2129623,2129631,human_RBP_eCLIP_ENCODE_618882,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,2129631,2129658,human_RBP_eCLIP_ENCODE_618883,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,2179912,2179950,human_RBP_eCLIP_ENCODE_618884,+,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr1,2193638,2193784,human_RBP_eCLIP_ENCODE_605950,-,DDX6,eCLIP,K562,ENCODE,13.0732820818762
chr1,2194705,2194747,human_RBP_eCLIP_ENCODE_618885,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr1,2213534,2213569,human_RBP_eCLIP_ENCODE_618886,+,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr1,2229370,2229421,human_RBP_eCLIP_ENCODE_605954,+,DDX6,eCLIP,K562,ENCODE,5.26676179593844
chr1,2229897,2229947,human_RBP_eCLIP_ENCODE_611465,+,DDX6,eCLIP,K562,ENCODE,3.26669718445958
chr1,2230730,2230784,human_RBP_eCLIP_ENCODE_605955,+,DDX6,eCLIP,K562,ENCODE,3.4241699666762
chr1,2232353,2232421,human_RBP_eCLIP_ENCODE_605956,+,DDX6,eCLIP,K562,ENCODE,3.68218541160968
chr1,2233285,2233361,human_RBP_eCLIP_ENCODE_605957,+,DDX6,eCLIP,K562,ENCODE,5.91779323677599
chr1,2240314,2240370,human_RBP_eCLIP_ENCODE_605958,+,DDX6,eCLIP,K562,ENCODE,3.54011679554051
chr1,2240969,2241070,human_RBP_eCLIP_ENCODE_605959,+,DDX6,eCLIP,K562,ENCODE,4.62886561260517
chr1,2273858,2273918,human_RBP_eCLIP_ENCODE_605960,+,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,2274498,2274554,human_RBP_eCLIP_ENCODE_618887,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,2290094,2290140,human_RBP_eCLIP_ENCODE_618888,+,DDX6,eCLIP,HepG2,ENCODE,6.32780974881175
chr1,2291377,2291450,human_RBP_eCLIP_ENCODE_605961,+,DDX6,eCLIP,K562,ENCODE,3.99157102509549
chr1,2301735,2301788,human_RBP_eCLIP_ENCODE_618889,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,2306691,2306754,human_RBP_eCLIP_ENCODE_618890,+,DDX6,eCLIP,HepG2,ENCODE,4.23250759332497
chr1,2308457,2308510,human_RBP_eCLIP_ENCODE_605962,+,DDX6,eCLIP,K562,ENCODE,4.10589548581183
chr1,2308457,2308521,human_RBP_eCLIP_ENCODE_611466,+,DDX6,eCLIP,K562,ENCODE,6.11529184343747
chr1,2309522,2309569,human_RBP_eCLIP_ENCODE_615833,+,DDX6,eCLIP,HepG2,ENCODE,3.0169109376207
chr1,2392168,2392254,human_RBP_eCLIP_ENCODE_611467,+,DDX6,eCLIP,K562,ENCODE,5.5723576314305
chr1,2392892,2392926,human_RBP_eCLIP_ENCODE_618891,+,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr1,2393750,2393797,human_RBP_eCLIP_ENCODE_618892,+,DDX6,eCLIP,HepG2,ENCODE,3.96221266961338
chr1,2403802,2403868,human_RBP_eCLIP_ENCODE_611468,+,DDX6,eCLIP,K562,ENCODE,5.07587217469582
chr1,2409088,2409204,human_RBP_eCLIP_ENCODE_611469,-,DDX6,eCLIP,K562,ENCODE,3.61028439345029
chr1,2510677,2510727,human_RBP_eCLIP_ENCODE_605963,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,2547123,2547232,human_RBP_eCLIP_ENCODE_605964,+,DDX6,eCLIP,K562,ENCODE,4.01728226135989
chr1,3265078,3265118,human_RBP_eCLIP_ENCODE_618893,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,3470142,3470195,human_RBP_eCLIP_ENCODE_615834,+,DDX6,eCLIP,HepG2,ENCODE,3.0169109376207
chr1,3536192,3536241,human_RBP_eCLIP_ENCODE_618894,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr1,3538377,3538427,human_RBP_eCLIP_ENCODE_618895,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr1,3544324,3544392,human_RBP_eCLIP_ENCODE_618896,-,DDX6,eCLIP,HepG2,ENCODE,7.01399311804124
chr1,3547576,3547622,human_RBP_eCLIP_ENCODE_618897,-,DDX6,eCLIP,HepG2,ENCODE,3.53631495502023
chr1,3552768,3552811,human_RBP_eCLIP_ENCODE_618898,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr1,3560438,3560477,human_RBP_eCLIP_ENCODE_618899,-,DDX6,eCLIP,HepG2,ENCODE,3.53631495502023
chr1,3562652,3562733,human_RBP_eCLIP_ENCODE_618900,-,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr1,3562782,3562827,human_RBP_eCLIP_ENCODE_618901,-,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr1,3722748,3722819,human_RBP_eCLIP_ENCODE_611470,+,DDX6,eCLIP,K562,ENCODE,3.91525468394631
chr1,3722748,3722920,human_RBP_eCLIP_ENCODE_605965,+,DDX6,eCLIP,K562,ENCODE,22.0765508023809
chr1,3722750,3722865,human_RBP_eCLIP_ENCODE_615835,+,DDX6,eCLIP,HepG2,ENCODE,12.8769033157855
chr1,3722760,3722833,human_RBP_eCLIP_ENCODE_618902,+,DDX6,eCLIP,HepG2,ENCODE,8.70471885888315
chr1,3722836,3722895,human_RBP_eCLIP_ENCODE_611471,+,DDX6,eCLIP,K562,ENCODE,3.95762061402504
chr1,3722987,3723058,human_RBP_eCLIP_ENCODE_605966,+,DDX6,eCLIP,K562,ENCODE,12.2121968302196
chr1,3722991,3723084,human_RBP_eCLIP_ENCODE_611472,+,DDX6,eCLIP,K562,ENCODE,4.30825951733495
chr1,3722996,3723066,human_RBP_eCLIP_ENCODE_615836,+,DDX6,eCLIP,HepG2,ENCODE,6.37471626282175
chr1,3723010,3723060,human_RBP_eCLIP_ENCODE_618903,+,DDX6,eCLIP,HepG2,ENCODE,9.55478808416738
chr1,3775409,3775480,human_RBP_eCLIP_ENCODE_618904,+,DDX6,eCLIP,HepG2,ENCODE,5.32198595020629
chr1,3781132,3781182,human_RBP_eCLIP_ENCODE_618905,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,3787002,3787048,human_RBP_eCLIP_ENCODE_618906,-,DDX6,eCLIP,HepG2,ENCODE,6.36436055837628
chr1,3857081,3857155,human_RBP_eCLIP_ENCODE_605968,-,DDX6,eCLIP,K562,ENCODE,3.4241699666762
chr1,5981086,5981135,human_RBP_eCLIP_ENCODE_605969,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,5981106,5981145,human_RBP_eCLIP_ENCODE_618907,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,6185811,6185871,human_RBP_eCLIP_ENCODE_611473,-,DDX6,eCLIP,K562,ENCODE,5.28736132420599
chr1,6211136,6211231,human_RBP_eCLIP_ENCODE_605970,+,DDX6,eCLIP,K562,ENCODE,4.10589548581183
chr1,6224771,6224815,human_RBP_eCLIP_ENCODE_618908,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,6347125,6347177,human_RBP_eCLIP_ENCODE_605971,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,6424999,6425053,human_RBP_eCLIP_ENCODE_605972,+,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,6446405,6446470,human_RBP_eCLIP_ENCODE_615837,+,DDX6,eCLIP,HepG2,ENCODE,3.0169109376207
chr1,6457197,6457248,human_RBP_eCLIP_ENCODE_611474,+,DDX6,eCLIP,K562,ENCODE,3.54563434727899
chr1,6549650,6549688,human_RBP_eCLIP_ENCODE_618909,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,6589063,6589122,human_RBP_eCLIP_ENCODE_605973,+,DDX6,eCLIP,K562,ENCODE,4.62886561260517
chr1,6590757,6590810,human_RBP_eCLIP_ENCODE_605974,-,DDX6,eCLIP,K562,ENCODE,5.4560397981538
chr1,6590994,6591079,human_RBP_eCLIP_ENCODE_605975,-,DDX6,eCLIP,K562,ENCODE,8.59398810658753
chr1,6591462,6591534,human_RBP_eCLIP_ENCODE_615838,-,DDX6,eCLIP,HepG2,ENCODE,4.07029810867393
chr1,6592100,6592152,human_RBP_eCLIP_ENCODE_618910,-,DDX6,eCLIP,HepG2,ENCODE,3.96221266961338
chr1,6592859,6592898,human_RBP_eCLIP_ENCODE_618911,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr1,6593170,6593200,human_RBP_eCLIP_ENCODE_605976,-,DDX6,eCLIP,K562,ENCODE,3.99157102509549
chr1,6622122,6622165,human_RBP_eCLIP_ENCODE_618912,+,DDX6,eCLIP,HepG2,ENCODE,3.18944873542402
chr1,6622259,6622301,human_RBP_eCLIP_ENCODE_615839,+,DDX6,eCLIP,HepG2,ENCODE,3.0169109376207
chr1,6622855,6622936,human_RBP_eCLIP_ENCODE_605977,+,DDX6,eCLIP,K562,ENCODE,4.78292843645508
chr1,6622917,6622965,human_RBP_eCLIP_ENCODE_618913,+,DDX6,eCLIP,HepG2,ENCODE,3.88231052433895
chr1,6623726,6623772,human_RBP_eCLIP_ENCODE_611475,+,DDX6,eCLIP,K562,ENCODE,4.30825951733495
chr1,6635467,6635522,human_RBP_eCLIP_ENCODE_615840,-,DDX6,eCLIP,HepG2,ENCODE,3.0169109376207
chr1,7961722,7961778,human_RBP_eCLIP_ENCODE_605978,+,DDX6,eCLIP,K562,ENCODE,4.68198260245994
chr1,7970896,7970959,human_RBP_eCLIP_ENCODE_605979,+,DDX6,eCLIP,K562,ENCODE,4.36779809540471
chr1,8013908,8013965,human_RBP_eCLIP_ENCODE_615841,-,DDX6,eCLIP,HepG2,ENCODE,21.2484514706193
chr1,8014310,8014354,human_RBP_eCLIP_ENCODE_618914,-,DDX6,eCLIP,HepG2,ENCODE,5.29115512610701
chr1,8014318,8014350,human_RBP_eCLIP_ENCODE_615842,-,DDX6,eCLIP,HepG2,ENCODE,13.8631209601245
chr1,8014365,8014398,human_RBP_eCLIP_ENCODE_615843,-,DDX6,eCLIP,HepG2,ENCODE,24.8650901208681
chr1,8352580,8352678,human_RBP_eCLIP_ENCODE_615845,-,DDX6,eCLIP,HepG2,ENCODE,12.5203239371319
chr1,8353638,8353693,human_RBP_eCLIP_ENCODE_615846,-,DDX6,eCLIP,HepG2,ENCODE,4.01631793013681
chr1,8355544,8355599,human_RBP_eCLIP_ENCODE_615847,-,DDX6,eCLIP,HepG2,ENCODE,4.01631793013681
chr1,8356882,8356933,human_RBP_eCLIP_ENCODE_618915,-,DDX6,eCLIP,HepG2,ENCODE,3.88231052433895
chr1,8390295,8390343,human_RBP_eCLIP_ENCODE_618916,-,DDX6,eCLIP,HepG2,ENCODE,4.26933939226396
chr1,8663569,8663620,human_RBP_eCLIP_ENCODE_618917,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr1,8665301,8665337,human_RBP_eCLIP_ENCODE_618918,-,DDX6,eCLIP,HepG2,ENCODE,4.73979500349767
chr1,8751229,8751235,human_RBP_eCLIP_ENCODE_618919,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr1,8751235,8751255,human_RBP_eCLIP_ENCODE_618920,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr1,8814586,8814628,human_RBP_eCLIP_ENCODE_618921,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr1,9104309,9104396,human_RBP_eCLIP_ENCODE_618923,-,DDX6,eCLIP,HepG2,ENCODE,3.96221266961338
chr1,9579953,9580001,human_RBP_eCLIP_ENCODE_618924,+,DDX6,eCLIP,HepG2,ENCODE,3.88231052433895
chr1,9602642,9602709,human_RBP_eCLIP_ENCODE_618925,+,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr1,9613860,9613865,human_RBP_eCLIP_ENCODE_618926,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,9613865,9613882,human_RBP_eCLIP_ENCODE_618927,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,9728808,9728895,human_RBP_eCLIP_ENCODE_611476,+,DDX6,eCLIP,K562,ENCODE,5.37656420983196
chr1,9729543,9729581,human_RBP_eCLIP_ENCODE_615849,-,DDX6,eCLIP,HepG2,ENCODE,5.56776674849712
chr1,9729792,9729832,human_RBP_eCLIP_ENCODE_618928,-,DDX6,eCLIP,HepG2,ENCODE,8.1220560395484
chr1,9729958,9729998,human_RBP_eCLIP_ENCODE_615850,-,DDX6,eCLIP,HepG2,ENCODE,6.36002570154505
chr1,9729959,9729997,human_RBP_eCLIP_ENCODE_618929,-,DDX6,eCLIP,HepG2,ENCODE,5.26866834233167
chr1,10381421,10381553,human_RBP_eCLIP_ENCODE_615851,+,DDX6,eCLIP,HepG2,ENCODE,9.81110468692262
